ao_momento ao_momento RG I
ao_noso_rogo ao_noso_rogo RG I
ao_oído ao_oído RG I
ao_outro_día ao_outro_día RG I
ao_outro_mundo ao_outro_mundo RG I
ao_parecer ao_parecer CA I
ao_pé ao_pé RG I
ao_pé_de_páxina ao_pé_de_páxina RG I
ao_pedir_de_boca ao_pedir_de_boca RG I
ao_pouco ao_pouco RG I
ao_primeiro_de_vez ao_primeiro_de_vez RG I
ao_principio ao_principio RG I
ao_que ao_que CA I
ao_quinto_inferno ao_quinto_inferno RG I
ao_redor ao_redor RG I
ao_redor_de ao_redor_de CA I
ao_revés ao_revés RG I
aos_catro_ventos aos_catro_ventos RG I
ao_seu_xeito ao_seu_xeito RG I
aos_ombreiros aos_ombreiros RG I
aos_poucos aos_poucos RG I
aos_tombos aos_tombos RG I
ao_tanto_de ao_tanto_de CA I
ao_través ao_través RG I
ao_virar_a_esquina ao_virar_a_esquina RG I
ao_xeito ao_xeito RG I
a_pan_seco a_pan_seco RG I
á_paparrandona á_paparrandona RG I
a_par_de a_par_de CA I
a_partir_de a_partir_de CA I
a_patadas a_patadas RG I
a_patas a_patas RG I
a_paus a_paus RG I
a_pé a_pé RG I
a_pé_de_obra a_pé_de_obra RG I
á_peito á_peito RG I
a_pelacorpo a_pelacorpo RG I
a_pé_manco a_pé_manco RG I
a_pesar_de a_pesar_de CA I
a_pintas a_pintas RG I
a_pique a_pique RG I
a_piques_de a_piques_de CA I
a_posteriori a_posteriori RG I
a_pouco_que a_pouco_que CA I
a_poula a_poula RG I
a_pracer a_pracer RG I
a_presa_e_bulindo a_presa_e_bulindo RG I
a_primeira_ollada a_primeira_ollada RG I
a_primeira_vista a_primeira_vista RG I
a_priori a_priori RG I
a_prol a_prol RG I
a_propósito a_propósito RG I
a_pulso a_pulso RG I
a_punto a_punto RG I
a_rabiar a_rabiar RG I
a_rastro a_rastro RG I
a_rebordar a_rebordar RG I
a_recado a_recado RG I
a_remollo a_remollo RG I
a_rentes_do_chan a_rentes_do_chan RG I
arredor_de arredor_de CA I
ás_agachadas ás_agachadas RG I
ás_alancadas ás_alancadas RG I
a_salvo a_salvo RG I
a_sangue_frío a_sangue_frío RG I
ás_apalpadelas ás_apalpadelas RG I
ás_bravas ás_bravas RG I
ás_caladas ás_caladas RG I
ás_carreiras ás_carreiras RG I
ás_cegas ás_cegas RG I
ás_claras ás_claras RG I
ás_costas ás_costas RG I
