wedi_syfrdanu wedi_syfrdanu VMN0000 
wrthon_ni wrth+prpers SPS000+PP1CPO00 
ai_peidio ai_peidio RG 
hyd_yn_hyn hyd_yn_hyn RG 
mono_fo mono_fo RG 
mono_fi mono_fi RG 
gynno_fo gan+prpers SPS000+PP3MSO00 
mono_fe mono_fe RG 
ohonynt_hwy o+prpers SPS000+PP3CPO00 
gynno_fe gan+prpers SPS000+PP3MSO00 
danat_ti dan+prpers SPS000+PP2CSO00 
amdanoch_chi am+prpers SPS000+PP2CPO00 
oddi_wrthot_ti oddi_wrth+prpers SPS000+PP2CSO00 
gyda'i_gilydd gyda'i_gilydd RG 
wedi_syfrdanasom wedi_syfrdanu VMIS1P0 
drwyddot_ti trwy+prpers SPS000+PP2CSO00 drwy+prpers SPS000+PP2CSO00 
drosodd_a_drosodd drosodd_a_throsodd RG 
yn_fuan_wedyn yn_fuan_wedyn RG 
nesaf_at nesaf_at SPS000 
amdani_hi am+prpers SPS000+PP3FSO00 
nid_er_elw nid-er-elw AQ0000 
ymhen_amser ymhen_amser RG 
yr_eiddoch_yn_gywir yr_eiddoch_yn_gywir RG 
fel_y_cyfryw fel_y_cyfryw RG 
gan_hynny gan_hynny SPS000 
heb_os_nac_onibai heb_os_nac_onibai RG 
ar_eu_pennau_eu_hun ar_eu_pennau_eu_hun RG 
naill_ai naill_ai CC 
trwof_fi trwy+prpers SPS000+PP1CSO00 
hebddo_i heb+prpers SPS000+PP1CSO00 
i_fyny i_fyny RG 
mohono_hi mohono_hi RG 
ar_fedr ar_fedr SPS000 
erom_ni er+prpers SPS000+PP1CPO00 
onot_ti o+prpers SPS000+PP2CSO00 
ona_i o+prpers SPS000+PP1CSO00 
rhyngddyn_nhw rhwng+prpers SPS000+PP3CPO00 
hebddon_ni heb+prpers SPS000+PP1CPO00 
ero_i er+prpers SPS000+PP1CSO00 
gyn_ti gan+prpers SPS000+PP2CSO00 
rhagddo_ef rhag+prpers SPS000+PP3MSO00 
tuag_atynt_hwy tuag_at+prpers SPS000+PP3CPO00 
lawer_iawn_o llawer_iawn_o DQ0CP0 
rhywun_arall rhywun_arall PD0MS000 
ar_y_goriwaered ar_y_goriwaered RG 
yn_hun fy_hun PP1CSN00 
wedi_syfrdanasoch wedi_syfrdanu VMIS2P0 
naw_o'r_gloch naw_o'r_gloch RG 
rhag_ofn rhag_ofn CS 
dy_hun dy_hun PP2CSN00 
ohono_ef o+prpers SPS000+PP3MSO00 
croeso_cynnes_i croeso_cynnes_i RG 
ynon_ni yn+prpers SPS000+PP1CPO00 
trwot_ti trwy+prpers SPS000+PP2CSO00 
drosodd_a_throsodd drosodd_a_throsodd RG 
yn_lle yn_lle SPS000 
ynddi_hi yn+prpers SPS000+PP3FSO00 
nid_er_elwed nid-er-elw AQ0000 
oddi_wrtho_fo oddi_wrth+prpers SPS000+PP3MSO00 
y_lall y_llall PD0CS000 
oddi_wrtho_fe oddi_wrth+prpers SPS000+PP3MSO00 
nesaf_ataf nesaf_at+prpers SPS000+PP1CSO00 
oddi_wrthynt oddi_wrth+prpers SPS000+PP3CPO00 
iddo_fo i+prpers SPS000+PP3MSO00 
oddi_wrthynt_hwy oddi_wrth+prpers SPS000+PP3CPO00 
iddo_fe i+prpers SPS000+PP3MSO00 
i_gyded i_gyd AQ0000 
y_lleill y_llall PD0CP000 
oddi_wrthi_hi oddi_wrth+prpers SPS000+PP3FSO00 
nesaf_atat_ti nesaf_at+prpers SPS000+PP2CSO00 
wrtho_ef wrth+prpers SPS000+PP3MSO00 
tuag_ati tuag_at+prpers SPS000+PP3FSO00 
drwof_fi drwy+prpers SPS000+PP1CSO00 
tuag_ato tuag_at+prpers SPS000+PP3MSO00 
ar_yr_un_pryd ar_yr_un_pryd RG 
gynnoch_chi gan+prpers SPS000+PP2CPO00 
i_ti i+prpers SPS000+PP2CSO00 
trosot_ti tros+prpers SPS000+PP2CSO00 
oddi_wrthoch_chi oddi_wrth+prpers SPS000+PP2CPO00 
drwot_ti drwy+prpers SPS000+PP2CSO00 
rhagoch_chi rhag+prpers SPS000+PP2CPO00 
moni_hi moni_hi RG 
wrthot_ti wrth+prpers SPS000+PP2CSO00 
aton_ni at+prpers SPS000+PP1CPO00 
nesaf_atom_ni nesaf_at+prpers SPS000+PP1CPO00 
o_ddifrif o_ddifrif RG 
yn_weddill_i yn_weddill_i RG 
atoch_chi at+prpers SPS000+PP2CPO00 
onoch_chi o+prpers SPS000+PP2CPO00 
drwoch_chi drwy+prpers SPS000+PP2CPO00 
amdano_ef ar+prpers SPS000+PP3MSO00 
drosto_ef dros+prpers SPS000+PP3MSO00 
drosof_fi dros+prpers SPS000+PP1CSO00 
rhyngof_fi rhwng+prpers SPS000+PP1CSO00 
oddi_wrthon_ni oddi_wrth+prpers SPS000+PP1CPO00 
rhyngddi_hi rhwng+prpers SPS000+PP3FSO00 
droston_ni dros+prpers SPS000+PP1CPO00 tros+prpers SPS000+PP1CPO00 
gennyt_ti gan+prpers SPS000+PP2CSO00 
ar_ei_ben_ei_hunan ar_ei_ben_ei_hun RG 
dim_ond dim_ond RG 
ynghyd_â ynghyd_â SPS000 
drosom_ni dros+prpers SPS000+PP1CPO00 
wrth_ochr wrth_ochr SPS000 
yn_ddiymyrraeth yn_ddiymyrraeth RG 
ganddo_fe gan+prpers SPS000+PP3MSO00 
ato_fo at+prpers SPS000+PP3MSO00 
ganddo_fo gan+prpers SPS000+PP3MSO00 
yn_unsain yn_unsain RG 
ato_fe at+prpers SPS000+PP3MSO00 
iddo_ef i+prpers SPS000+PP3MSO00 
drostynt_hwy dros+prpers SPS000+PP3CPO00 
gynnyn_nhw gan+prpers SPS000+PP3CPO00 
para[para,_pery] para VMIP3S0 
erbyn_hyn erbyn_hyn RG 
yng_ngŵydd yng_ngŵydd SPS000 
ar_ôl ar_ôl SPS000 ar_ôl CS 
yn_ystod yn_ystod SPS000 
gen_i gan+prpers SPS000+PP1CSO00 
rhyngot_ti rhwng+prpers SPS000+PP2CSO00 
yn_hunan fy_hun PP1CSN00 
gennym_ni gan+prpers SPS000+PP1CPO00 
dros_dro dros_dro RG 
amdanaf_fi am+prpers SPS000+PP1CSO00 
oddi_wrth oddi_wrth SPS000 
mono_i mono_i RG 
dy_hunan dy_hun PP2CSN00 
tuag_atyn_nhw tuag_at+prpers SPS000+PP3CPO00 
yn_ôl yn_ôl SPS000 yn_ôl RG 
i_fi i+prpers SPS000+PP1CSO00 
wedi_syfrdanaf wedi_syfrdanu VMIP1S0 
ar_hyn_o_bryd ar_hyn_o_bryd RG 
ein_hun ein_hun PP1CPN00 
mohonom_ni mohonom_ni RG 
ohono_ti o+prpers SPS000+PP2CSO00 
wrthyn_nhw wrth+prpers SPS000+PP3CPO00 
yn_ddiymdroi yn_ddiymdroi RG 
nesaf_atynt nesaf_at+prpers SPS000+PP3CPO00 
trwyddi_hi trwy+prpers SPS000+PP3FSO00 
drosto_fo dros+prpers SPS000+PP3MSO00 tros+prpers SPS000+PP3MSO00 
wrth_gwrs wrth_gwrs RG 
drosto_fe dros+prpers SPS000+PP3MSO00 tros+prpers SPS000+PP3MSO00 
ein_hunain ein_hun PP1CPN00 
llawer_o llawer_o DQ0CP0 
wedi_syfrdanwn wedi_syfrdanu VMIP1P0 wedi_syfrdanu VMII1S0 wedi_syfrdanu VMM01P0 
ar_eu_pennau_eu_hunain ar_eu_pennau_eu_hun RG 
atat_ti at+prpers SPS000+PP2CSO00 
ohono_i o+prpers SPS000+PP1CSO00 
pha_rai pa_rai PT0CP000 
oddi_wrthyf_fi oddi_wrth+prpers SPS000+PP1CSO00 
ar_eich_pennau_eich_hunain ar_eich_pennau_eich_hun RG 
ar_ein_pennau_ein_hun ar_ein_pennau_ein_hun RG 
bob_amser bob_amser RG 
ar_dy_ben_dy_hunan ar_dy_ben_dy_hun RG 
hebddyn_nhw heb+prpers SPS000+PP3CPO00 
trosof_fi tros+prpers SPS000+PP1CSO00 
